start_time_stamp,end_time_stamp,service_name,pods_number,cpu_quota_cores,min_cpu_quota_percentage_across_pods,max_cpu_quota_percentage_across_pods,min_cpu_cores_used_across_pods,max_cpu_cores_used_across_pods,memory_quota_mb,min_memory_quota_percentage_across_pods,max_memory_quota_percentage_across_pods,min_memory_used_bytes_across_pods,max_memory_used_bytes_across_pods,jvm_heap_max_mb,min_jvm_heap_used_percentage_across_pods,min_jvm_heap_used_bytes,queries_per_second,success_rate,latency_ms
1699134780,1699134780,acmeair-authservice,3.0,0.5,5.991,100.427,0.029921,0.50211,512,28.81279,36.553803,154687488.0,196246732.8,512,61.884994,56414716.8,2.0,100.0,3.5935113333333333
1699134780,1699134780,acmeair-bookingservice,2.0,0.5,77.409,100.512,0.387021,0.50254,512,31.520691,32.745286,169225420.8,175799910.4,512,71.370269,61185780.0,0.0,-inf,0.0
1699134780,1699134780,acmeair-customerservice,2.0,0.5,12.552,99.258001,0.06272,0.49627,512,28.021851,35.344162,150441164.8,189752524.8,512,70.190576,53824712.0,2.0,100.0,11.3201355
1699134780,1699134780,acmeair-flightservice,3.0,0.5,19.678,38.001,0.09837,0.18998,512,34.236527,35.477601,183805952.0,190468915.2,512,60.149183,63859376.8,2.0,100.0,46.49912691666666
1699134770,1699134770,acmeair-authservice,3.0,0.5,12.008,92.034,0.06001,0.46015,512,19.824524,35.566102,106432102.4,190944051.2,512,58.296578,39192358.4,2.0,100.0,3.3821156666666665
1699134770,1699134770,acmeair-bookingservice,2.0,0.5,91.185,100.666,0.45591,0.50329,512,20.940094,26.115952,112421273.6,140208947.2,512,65.2588,43681014.666667,0.0,100.0,0.0
1699134770,1699134770,acmeair-customerservice,3.0,0.5,35.486001,91.761,0.1774,0.458791,512,16.360245,42.439728,87833395.2,227846553.6,512,68.990765,40774370.666667,4.0,50.0,345.085373277778
1699134770,1699134770,acmeair-flightservice,2.0,0.5,17.583001,100.366,0.08789,0.50181,512,29.620514,35.317536,159023923.2,189609574.4,512,75.773682,67928600.8,2.0,100.0,23.45746375
1699134740,1699134740,acmeair-authservice,2.0,0.5,90.561,100.336,0.45277,0.50165,512,12.486725,14.32663,67037593.6,76915507.2,0,0.0,0.0,0.0,,0.0
1699134740,1699134740,acmeair-bookingservice,1.0,0.5,92.695001,92.695001,0.463451,0.463451,512,67.642518,67.642518,363152998.4,363152998.4,512,68.690616,103629322.4,0.0,,50.88784343697501
